"n_Acc","x","y","shoe","row_number","min_dist","horiz_dist","distance_shape","new_x"
1,0.0216666666666667,-0.251666666666667,301,16358,0.119675487140108,0.12,0.181666666666667,0.0277843137254902
1,0.025,0.231666666666667,301,16359,0.146552986246537,0.150332963783729,0.231666666666667,0.0330323890139142
1,0.025,-0.268333333333333,301,16360,0.117851130197758,0.12,0.181666666666667,0.0313218390804598
1,0.025,-0.348333333333333,301,16361,0.118368539363765,0.12,0.175,0.0301724137931034
1,0.0283333333333333,0.311666666666667,301,16362,0.117426099692057,0.126710518724988,0.208333333333333,0.038071666173241
1,0.0283333333333333,0.198333333333333,301,16363,0.152934263292726,0.156666666666667,0.238333333333333,0.0365015015015014
1,0.0283333333333333,0.168333333333333,301,16364,0.157938103206429,0.16,0.241666666666667,0.0363569321533923
1,0.0283333333333333,-0.331666666666667,301,16365,0.116666666666667,0.116666666666667,0.175,0.0341954022988505
1,0.0283333333333333,-0.391666666666667,301,16366,0.105934990547138,0.110050493461461,0.168333333333333,0.0344653313534747
1,0.0483333333333333,0.291666666666667,301,16367,0.108985218161812,0.11020183503211,0.215,0.0655480217658241
1,0.0516666666666667,-0.375,301,16368,0.0889444270941755,0.09,0.171666666666667,0.0626078431372549
1,0.0516666666666667,-0.381666666666667,301,16369,0.0876863095864393,0.09,0.168333333333333,0.0613921568627451
1,0.055,-0.005,301,16370,0.094809751022186,0.097182531580755,0.215,0.0777027420767088
1,0.055,-0.208333333333333,301,16371,0.0784573486395987,0.0800694143297621,0.178333333333333,0.0726169827714438
1,0.0583333333333333,0.128333333333333,301,16372,0.126183288204985,0.126666666666667,0.241666666666667,0.076201201201201
1,0.0616666666666667,0.221666666666667,301,16373,0.114939597663778,0.117094453801669,0.235,0.0810672176852551
1,0.0616666666666667,-0.0483333333333333,301,16374,0.0833333333333333,0.0833333333333333,0.198333333333333,0.0843486590038315
1,0.065,-0.211666666666667,301,16375,0.0696020433927371,0.0703167436990967,0.178333333333333,0.0856632102561011
1,0.0683333333333333,0.135,301,16376,0.116666666666667,0.116666666666667,0.241666666666667,0.0892642642642641
1,0.0683333333333333,0.0316666666666667,301,16377,0.0938675189355248,0.0968962790249909,0.225,0.0930523274887137
1,0.0683333333333333,-0.0116666666666667,301,16378,0.0801387685344754,0.0806225774829855,0.211666666666667,0.097101812271986
1,0.0816666666666667,0.301666666666667,301,16379,0.0745355992499928,0.0766666666666666,0.215,0.110894736842105
1,0.085,0.351666666666667,301,16380,0.0480740170061863,0.053748384988657,0.191666666666667,0.117418784139351
1,0.0883333333333333,-0.248333333333333,301,16381,0.0533333333333334,0.0533333333333334,0.181666666666667,0.113274509803921
1,0.0916666666666667,0.115,301,16382,0.0909822937597078,0.0933333333333333,0.241666666666667,0.119744744744745
1,0.0983333333333333,0.155,301,16383,0.0882546819658249,0.09,0.241666666666667,0.12617994100295
1,0.0983333333333333,-0.0216666666666667,301,16384,0.0485340659285368,0.05,0.208333333333333,0.13810861423221
1,0.0983333333333333,-0.398333333333333,301,16385,0.0390156663690656,0.04,0.168333333333333,0.119658634538153
1,0.111666666666667,0.121666666666667,301,16386,0.0728010988928049,0.073333333333333,0.241666666666667,0.145870870870871
1,0.111666666666667,0.118333333333333,301,16387,0.0719567771497426,0.073333333333333,0.241666666666667,0.145870870870871
1,0.111666666666667,0.0983333333333333,301,16388,0.0696020433927367,0.0699999999999997,0.238333333333333,0.146498470948013
1,0.135,0.00166666666666667,301,16389,0.0223606797749979,0.0233333333333333,0.218333333333333,0.186157894736842
1,0.138333333333333,0.0516666666666667,301,16390,0.0328295260059873,0.0334995854037366,0.231666666666667,0.186502228197958
1,0.145,0.0683333333333333,301,16391,0.0307318148576429,0.0307318148576429,0.235,0.193903420547973
0,0.115,0.228333333333333,301,16392,0.061463629715286,0.0634209919681349,0.231666666666667,0.149319126481624
0,0.131666666666667,0.271666666666667,301,16393,0.0328295260059866,0.033499585403736,0.221666666666667,0.176707473501732
0,0.148333333333333,0.0316666666666667,301,16394,0.0179505493571153,0.0179505493571153,0.225,0.200710973667426
0,-0.0216666666666667,-0.338333333333333,301,16395,0.120185042515466,0.120185042515466,0.171666666666667,-0.0262206530036858
0,0.158333333333333,0.0816666666666667,301,16396,0.0202758751009944,0.0202758751009944,0.235,0.208322592432374
0,0.0583333333333333,0.191666666666667,301,16397,0.124944432093275,0.126666666666667,0.238333333333333,0.07515015015015
0,0.025,-0.291666666666667,301,16398,0.12,0.12,0.178333333333333,0.0307471264367816
0,-0.0183333333333333,-0.341666666666667,301,16399,0.123738074621804,0.126666666666667,0.171666666666667,-0.0217049808429118
0,0.0516666666666667,-0.458333333333333,301,16400,0.0480740170061868,0.0600925212577331,0.151666666666667,0.0701160348123852
0,-0.005,-0.335,301,16401,0.136666666666667,0.136707311029399,0.171666666666667,-0.0060570857431291
