"n_Acc","x","y","shoe","row_number","horiz_dist","distance_shape","new_x"
1,-0.0116666666666667,-0.411666666666667,200,10781,0.24,0.115,-0.00533112582781458
1,-0.0116666666666667,-0.445,200,10782,0.24,0.0983333333333333,-0.00455849889624725
1,-0.00833333333333333,-0.221666666666667,200,10783,0.226887147669888,0.128333333333333,-0.00454656176147262
1,0.005,-0.00166666666666667,200,10784,0.203333333333333,0.148333333333333,0.00356000000000001
1,0.0183333333333333,0.451666666666667,200,10785,0.226764684689266,0.065,0.00486200042040645
1,0.025,0.0816666666666667,200,10786,0.153659074288215,0.165,0.0230886677121449
1,0.0283333333333333,-0.0116666666666667,200,10787,0.180123414481417,0.148333333333333,0.0201613899374112
1,0.0383333333333333,-0.395,200,10788,0.19,0.118333333333333,0.0198661800486618
1,0.0516666666666667,0.085,200,10789,0.12684198393627,0.165,0.0477567892155685
1,0.075,-0.395,200,10790,0.153333333333333,0.118333333333333,0.0388686131386862
1,0.0816666666666667,-0.278333333333333,200,10791,0.13,0.135,0.0520866141732284
1,0.085,-0.365,200,10792,0.146666666666667,0.125,0.0458633093525179
1,0.0883333333333333,0.0383333333333333,200,10793,0.106666666666667,0.158333333333333,0.0717236467236466
1,0.0916666666666667,0.0183333333333333,200,10794,0.11,0.151666666666667,0.068939393939394
1,0.121666666666667,0.298333333333333,200,10795,0.053333333333333,0.148333333333333,0.103126984126984
1,0.128333333333333,-0.341666666666667,200,10796,0.106666666666667,0.128333333333333,0.0700827423167847
1,0.131666666666667,0.275,200,10797,0.0399999999999997,0.155,0.118883495145631
1,0.148333333333333,0.025,200,10798,0.0504424865014055,0.155,0.115666315378711
1,0.208333333333333,-0.191666666666667,200,10799,0.0235702260395519,0.135,0.121278862972417
0,0.0516666666666667,-0.361666666666667,200,10800,0.18,0.128333333333333,0.028621103117506
0,0.0683333333333333,-0.498333333333333,200,10801,0.190262975904405,0.005,0.00132123566524903
0,-0.115,0.181666666666667,200,10802,0.28,0.151666666666667,-0.0441561181434599
0,0.0583333333333333,-0.365,200,10803,0.173333333333333,0.125,0.0314748201438849
0,0.195,0.135,200,10804,0.0242670329642684,0.171666666666667,0.152667729149484
0,0.0983333333333333,0.121666666666667,200,10805,0.0707106781186547,0.171666666666667,0.0998589385720415
0,0.135,0.0183333333333333,200,10806,0.0666666666666667,0.151666666666667,0.101528925619835
0,-0.075,-0.275,200,10807,0.286666666666667,0.135,-0.0279953917050691
0,0.188333333333333,0.125,200,10808,0.0166666666666663,0.171666666666667,0.157710027100271
0,-0.131666666666667,0.135,200,10809,0.3,0.148333333333333,-0.0452445302445303
0,-0.0283333333333333,-0.171666666666667,200,10810,0.26,0.115,-0.0113005780346821
0,0.125,-0.271666666666667,200,10811,0.0866666666666667,0.135,0.0797244094488189
0,0.065,0.0116666666666667,200,10812,0.136707311029399,0.151666666666667,0.0488744472524175
0,-0.045,0.398333333333333,200,10813,0.250199920063936,0.125,-0.0190548832085785
0,0.168333333333333,0.291666666666667,200,10814,0.00666666666666699,0.151666666666667,0.145888888888889
0,-0.0383333333333333,0.458333333333333,200,10815,0.290076618231191,0.0883333333333333,-0.010310622729244
0,-0.111666666666667,0.241666666666667,200,10816,0.28,0.151666666666667,-0.0432411347517731
0,-0.00166666666666667,0.298333333333333,200,10817,0.176666666666667,0.148333333333333,-0.00138629283489097
0,-0.105,0.298333333333333,200,10818,0.28,0.148333333333333,-0.0404545454545455
0,0.0183333333333333,0.118333333333333,200,10819,0.153333333333333,0.171666666666667,0.0183333333333333
1,-0.135,-0.235,201,10820,0.353333333333333,0.128333333333333,-0.0354778156996587
1,-0.121666666666667,-0.161666666666667,201,10821,0.346666666666667,0.115,-0.0298754448398577
1,-0.095,-0.128333333333333,201,10822,0.316666666666667,0.115,-0.0265384615384615
1,-0.095,-0.188333333333333,201,10823,0.32,0.121666666666667,-0.02785140562249
1,-0.075,0.305,201,10824,0.260085456041749,0.148333333333333,-0.0332004860235232
1,-0.055,-0.441666666666667,201,10825,0.313404247294484,0.0983333333333333,-0.014680431545107
1,-0.0283333333333333,-0.191666666666667,201,10826,0.253333333333333,0.121666666666667,-0.0122386587771203
1,-0.0216666666666667,-0.295,201,10827,0.223358207570013,0.135,-0.0119375635192639
1,-0.0216666666666667,-0.378333333333333,201,10828,0.253333333333333,0.128333333333333,-0.0101111111111111
1,0.005,0.381666666666667,201,10829,0.210105793457592,0.111666666666667,0.00259562201630524
1,0.0116666666666667,0.375,201,10830,0.200111080264048,0.111666666666667,0.00615162733884405
1,0.0183333333333333,-0.405,201,10831,0.216666666666667,0.118333333333333,0.00923167848699761
1,0.0283333333333333,0.391666666666667,201,10832,0.193448241713959,0.105,0.0134140989816923
1,0.0283333333333333,-0.168333333333333,201,10833,0.196666666666667,0.135,0.017
1,0.035,-0.138333333333333,201,10834,0.186696426199206,0.138333333333333,0.0218391732770477
1,0.105,0.295,201,10835,0.08,0.148333333333333,0.0841891891891892
1,0.115,-0.255,201,10836,0.0869226987360353,0.135,0.0768858582872605
1,0.118333333333333,-0.101666666666667,201,10837,0.103333333333334,0.138333333333333,0.0738471177944859
1,0.171666666666667,-0.168333333333333,201,10838,0.053333333333333,0.135,0.103
0,0.0716666666666667,0.418333333333333,201,10839,0.163639169448448,0.0883333333333333,0.0269035212218815
0,-0.121666666666667,0.255,201,10840,0.3,0.151666666666667,-0.0437615283267458
0,0.138333333333333,0.035,201,10841,0.0575422550054406,0.155,0.10946574225259
0,-0.0716666666666667,-0.398333333333333,201,10842,0.303351647798759,0.125,-0.0238877222465871
0,-0.0683333333333333,-0.241666666666667,201,10843,0.276847330571281,0.131666666666667,-0.0260652555692067
0,-0.105,0.311666666666667,201,10844,0.293333333333333,0.148333333333333,-0.0391004184100419
0,-0.0516666666666667,-0.398333333333333,201,10845,0.283352940498045,0.125,-0.0192774786765185
0,0.025,0.101666666666667,201,10846,0.156666666666667,0.168333333333333,0.0231651376146789
0,0.101666666666667,-0.155,201,10847,0.123333333333333,0.135,0.0610000000000002
0,-0.115,0.191666666666667,201,10848,0.29,0.151666666666667,-0.0430658436213992
0,0.0683333333333333,-0.451666666666667,201,10849,0.196694913225759,0.0883333333333333,0.0227753501352365
0,0.148333333333333,0.065,201,10850,0.0405517502019884,0.161666666666667,0.126958440056338
0,-0.075,-0.265,201,10851,0.276666666666667,0.131666666666667,-0.0280805687203791
0,0.0383333333333333,0.261666666666667,201,10852,0.14,0.158333333333333,0.0340342679127726
0,-0.075,0.361666666666667,201,10853,0.280019840566898,0.138333333333333,-0.0292237188305677
0,0.0383333333333333,-0.455,201,10854,0.226764684689266,0.0816666666666667,0.011809049267538
0,0.0383333333333333,-0.471666666666667,201,10855,0.240092574738255,0.0616666666666667,0.00849019010214053
0,0.0883333333333333,0.255,201,10856,0.09,0.158333333333333,0.0784267912772586
0,0.111666666666667,-0.331666666666667,201,10857,0.110050493461461,0.128333333333333,0.0646343997337605
0,0.0283333333333333,-0.248333333333333,201,10858,0.176792408082348,0.135,0.0186470989628198
1,-0.151666666666667,-0.145,202,10859,0.383333333333334,0.115,-0.032601246105919
1,-0.131666666666667,0.255,202,10860,0.32,0.151666666666667,-0.0442127921279214
1,-0.075,0.468333333333333,202,10861,0.340147027033899,0.075,-0.0135494165529474
1,-0.0716666666666667,-0.265,202,10862,0.29,0.131666666666667,-0.0260906298003072
1,-0.0683333333333333,0.005,202,10863,0.286744175568088,0.125,-0.02405578064658
1,-0.0683333333333333,-0.358333333333333,202,10864,0.293409081128872,0.131666666666667,-0.024871902941208
1,-0.065,-0.285,202,10865,0.28,0.135,-0.0254347826086957
1,-0.0516666666666667,-0.368333333333333,202,10866,0.280019840566898,0.128333333333333,-0.0199904289470735
1,-0.0383333333333333,0.468333333333333,202,10867,0.303498123735734,0.075,-0.00841057761228541
1,0.025,-0.358333333333333,202,10868,0.200111080264048,0.128333333333333,0.0142522230783579
1,0.045,-0.208333333333333,202,10869,0.18,0.135,0.027
1,0.0483333333333333,0.445,202,10870,0.196779628575273,0.0683333333333333,0.0134745129431762
1,0.055,0.468333333333333,202,10871,0.210237960416286,0.0483333333333333,0.0100224467461638
