"n_Acc","x","y","shoe","row_number","horiz_dist","distance_shape","new_x"
0,-0.095,-0.238333333333333,2,52,0.0667499479816693,0.128333333333333,-0.0753735430446526
0,0.035,0.138333333333333,2,53,0.190116923087989,0.171666666666667,0.0266898341133817
0,0.138333333333333,0.205,2,54,0.0933333333333337,0.168333333333333,0.100515587529976
0,0.00166666666666667,-0.311666666666667,2,55,0.163333333333333,0.131666666666667,0.00132996632996634
0,0.0816666666666667,0.458333333333333,2,56,0.0372677996249965,0.0583333333333333,0.0400547380202337
0,-0.045,0.168333333333333,2,57,0.117094453801669,0.151666666666667,-0.0421050803400759
0,0.035,0.371666666666667,2,58,0.136829171678492,0.115,0.0234244276491721
0,0.0516666666666667,0.0983333333333333,2,59,0.170293863659264,0.168333333333333,0.0391836431885033
0,-0.0716666666666667,0.065,2,60,0.0600925212577331,0.135,-0.073429414315693
0,0.105,-0.155,2,61,0.06,0.135,0.0859090909090909
0,0.0716666666666667,0.191666666666667,2,62,0.16,0.168333333333333,0.052074340527578
0,0.171666666666667,0.0716666666666667,2,63,0.0438431547932194,0.165,0.131432525014978
0,0.085,0.345,2,64,0.103387082795139,0.128333333333333,0.0579038284976023
1,0.0116666666666667,0.0916666666666667,3,65,0.180030861551877,0.168333333333333,0.0102447272384753
1,0.015,0.335,3,66,0.153659074288215,0.135,0.0120064693141832
1,0.055,0.0683333333333333,3,67,0.143333333333333,0.161666666666667,0.0448319327731093
1,0.0716666666666667,-0.475,3,68,0.0120185042515466,0.055,0.0471011365982501
1,0.155,0.291666666666667,3,69,0.0284800124843917,0.151666666666667,0.128124764191049
1,0.165,0.251666666666667,3,70,0.03,0.158333333333333,0.133974358974359
1,0.168333333333333,0.251666666666667,3,71,0.026666666666667,0.158333333333333,0.136680911680911
1,0.168333333333333,0.158333333333333,3,72,0.036666666666667,0.171666666666667,0.140962059620596
1,0.168333333333333,0.155,3,73,0.036666666666667,0.171666666666667,0.140962059620596
1,0.171666666666667,0.225,3,74,0.0268741924943282,0.165,0.14266584782446
1,0.188333333333333,0.128333333333333,3,75,0.016666666666667,0.171666666666667,0.157710027100271
0,-0.085,-0.261666666666667,3,76,0.0633333333333333,0.131666666666667,-0.0754494382022472
0,-0.0716666666666667,0.168333333333333,3,77,0.113333333333333,0.151666666666667,-0.0587537537537539
0,-0.0916666666666667,-0.381666666666667,3,78,0.0566666666666666,0.128333333333333,-0.079307116104869
